kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,nonconvex_sin,0.1,5.0,10000,4.372445733643268e-07,1.1913405588882997,2724654.876152425,,,,,
rate,nonconvex_sin,0.1,5.0,20000,1.4184551585538253e-12,0.5956702794441499,419942975181.15466,,,,,
rate,nonconvex_sin,0.1,6.0,10,27.50410400043131,1110.8947740371523,40.390145922213335,,,,,
rate,nonconvex_sin,0.1,6.0,100,25.92204781970742,111.08947740371521,4.285520888487007,,,,,
rate,nonconvex_sin,0.1,6.0,1000,1.1822491571224265,11.108947740371521,9.396452239738114,,,,,
rate,nonconvex_sin,0.1,6.0,10000,3.0366152136285754e-06,1.1108947740371522,365833.2373003225,,,,,
rate,nonconvex_sin,0.1,6.0,20000,9.994614495049995e-12,0.5554473870185761,55574668467.07004,,,,,
rate,nonconvex_sin,0.1,7.0,10,25.685484201113578,1037.0934695011797,40.37663691215201,,,,,
rate,nonconvex_sin,0.1,7.0,100,23.207175093574442,103.70934695011795,4.468848385550932,,,,,
rate,nonconvex_sin,0.1,7.0,1000,1.5861052592891638,10.370934695011796,6.53861692612991,,,,,
rate,nonconvex_sin,0.1,7.0,10000,1.1113665650066153e-06,1.0370934695011795,933169.5789273689,,,,,
rate,nonconvex_sin,0.1,7.0,20000,3.6520474370055485e-12,0.5185467347505898,141987951606.6105,,,,,
rate,nonconvex_sin,0.5,0.0,10,23.312978365107536,253.69740494408464,10.882239110374364,,,,,
rate,nonconvex_sin,0.5,0.0,100,5.769808862360288,25.369740494408465,4.396981095840031,,,,,
rate,nonconvex_sin,0.5,0.0,1000,0.0010715087604016042,2.5369740494408464,2367.6652428767657,,,,,
rate,nonconvex_sin,0.5,0.0,10000,9.2941236503913e-28,0.25369740494408466,2.729653859655757e+26,,,,,
rate,nonconvex_sin,0.5,0.0,20000,3.7409890575151615e-28,0.12684870247204233,3.390779831799287e+26,,,,,
rate,nonconvex_sin,0.5,1.0,10,24.985814064412374,257.93548647950786,10.323277273038256,,,,,
rate,nonconvex_sin,0.5,1.0,100,5.848718367855235,25.79354864795079,4.410119794742221,,,,,
rate,nonconvex_sin,0.5,1.0,1000,0.0022962161388923688,2.5793548647950786,1123.3066526739456,,,,,
rate,nonconvex_sin,0.5,1.0,10000,1.4200184489696625e-27,0.25793548647950787,1.8164234884882008e+26,,,,,
rate,nonconvex_sin,0.5,1.0,20000,2.4160458275166788e-28,0.12896774323975393,5.3379675903048916e+26,,,,,
rate,nonconvex_sin,0.5,2.0,10,26.414566760038163,269.71066046547605,10.210678937710746,,,,,
rate,nonconvex_sin,0.5,2.0,100,5.273940796483057,26.97106604654761,5.114025182939737,,,,,
rate,nonconvex_sin,0.5,2.0,1000,0.015362496455412756,2.6971066046547603,175.5643434960386,,,,,
rate,nonconvex_sin,0.5,2.0,10000,3.2105163328758468e-27,0.2697106604654761,8.400849972436692e+25,,,,,
rate,nonconvex_sin,0.5,2.0,20000,3.4096409074336977e-28,0.13485533023273805,3.9551182630031954e+26,,,,,
rate,nonconvex_sin,0.5,3.0,10,23.731595156606854,274.0801039933563,11.549164823716145,,,,,
rate,nonconvex_sin,0.5,3.0,100,7.395423410690531,27.408010399335634,3.706077242273336,,,,,
rate,nonconvex_sin,0.5,3.0,1000,0.0011286898519371682,2.740801039933563,2428.303076553343,,,,,
