subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
so,32,2.0,1.0,100.0,0.22967889934813024,1.0,0.22967889934813024,0.7079056340001765,0.4583216373764084,random_features,,
so,32,2.0,1.0,1000.0,0.2204138493533902,1.0,0.2204138493533902,0.7079056340001765,0.4398333352467156,random_features,,
so,32,2.0,1.0,10000.0,0.014838341014949788,1.0,0.014838341014949788,0.7079056340001765,0.02960974111780838,random_features,,
sym,32,2.0,1.0,0.01,0.2673342680048234,1.0,0.2673342680048234,0.7418857595910298,0.48571393351710296,random_features,,
sym,32,2.0,1.0,0.1,0.2673342669226284,1.0,0.2673342669226284,0.7418857595910298,0.48571393155088594,random_features,,
sym,32,2.0,1.0,1.0,0.26733415870315064,1.0,0.26733415870315064,0.7418857595910298,0.4857137349292234,random_features,,
sym,32,2.0,1.0,10.0,0.26732333705035766,1.0,0.26732333705035766,0.7418857595910298,0.4856940732989189,random_features,,
sym,32,2.0,1.0,100.0,0.2662441146411987,1.0,0.2662441146411987,0.7418857595910298,0.4837332571064996,random_features,,
sym,32,2.0,1.0,1000.0,0.18213754844192123,1.0,0.18213754844192123,0.7418857595910298,0.3309218296447176,random_features,,
sym,32,2.0,1.0,10000.0,2.984721471012702e-06,1.0,2.984721471012702e-06,0.7418857595910298,5.422876823678948e-06,random_features,,
sl,32,2.0,1.0,0.01,0.49296955085359795,1.0,0.49296955085359795,0.9987834401513994,0.49417119714496055,random_features,,
sl,32,2.0,1.0,0.1,0.4929695498696056,1.0,0.4929695498696056,0.9987834401513994,0.4941711961585697,random_features,,
sl,32,2.0,1.0,1.0,0.4929694514703953,1.0,0.4929694514703953,0.9987834401513994,0.49417109751950467,random_features,,
sl,32,2.0,1.0,10.0,0.49295961168159996,1.0,0.49295961168159996,0.9987834401513994,0.49416123374556525,random_features,,
sl,32,2.0,1.0,100.0,0.4919769537703779,1.0,0.4919769537703779,0.9987834401513994,0.49317618053988205,random_features,,
sl,32,2.0,1.0,1000.0,0.4055555969203396,1.0,0.4055555969203396,0.9987834401513994,0.4065441658454118,random_features,,
sl,32,2.0,1.0,10000.0,0.00024809048938488913,1.0,0.00024809048938488913,0.9987834401513994,0.0002486952265658681,random_features,,
gl,32,2.0,1.0,0.01,0.49710937784698417,1.0,0.49710937784698417,1.0000000000000009,0.4971093778469833,random_features,,
gl,32,2.0,1.0,0.1,0.49710937780866216,1.0,0.49710937780866216,1.0000000000000009,0.49710937780866127,random_features,,
gl,32,2.0,1.0,1.0,0.49710937397647426,1.0,0.49710937397647426,1.0000000000000009,0.49710937397647337,random_features,,
gl,32,2.0,1.0,10.0,0.4971089907578923,1.0,0.4971089907578923,1.0000000000000009,0.4971089907578914,random_features,,
gl,32,2.0,1.0,100.0,0.49707067088876133,1.0,0.49707067088876133,1.0000000000000009,0.49707067088876045,random_features,,
gl,32,2.0,1.0,1000.0,0.4932584873672457,1.0,0.4932584873672457,1.0000000000000009,0.4932584873672448,random_features,,
gl,32,2.0,1.0,10000.0,0.24818380699053377,1.0,0.24818380699053377,1.0000000000000009,0.24818380699053333,random_features,,
so,32,2.0,2.0,0.01,0.9515744324345692,4.0,0.2378936081086423,1.398563950582957,0.48649469098747417,random_features,,
so,32,2.0,2.0,0.1,0.9515744264114815,4.0,0.23789360660287037,1.398563950582957,0.48649468790815625,random_features,,
so,32,2.0,2.0,1.0,0.9515738241029891,4.0,0.23789345602574727,1.398563950582957,0.4864943799765075,random_features,,
so,32,2.0,2.0,10.0,0.9515135958207054,4.0,0.23787839895517635,1.398563950582957,0.4864635881239949,random_features,,
so,32,2.0,2.0,100.0,0.9455163439522789,4.0,0.23637908598806973,1.398563950582957,0.4833974788475618,random_features,,
so,32,2.0,2.0,1000.0,0.5322680704651703,4.0,0.13306701761629258,1.398563950582957,0.272123316513401,random_features,,
so,32,2.0,2.0,10000.0,4.318174019879253e-07,4.0,1.0795435049698132e-07,1.398563950582957,2.207676734290301e-07,random_features,,
