draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
13,900013,sl,2,8.110878892353565,0.1468950784547324,0.8088680188469588,2.4340479373931885,0.0,ok
13,900013,gl,2,8.215621142631523,0.15589730421077344,0.808697355020543,2.755457043647766,0.0,ok
13,900013,sym,2,6.932015262158427,0.14928225177167412,0.6566492293479854,484.39324951171875,0.0,ok
14,900014,baseline_ppo,0,6.257647629004011,0.19688668866609135,0.4993515977997954,,8.881784197001252e-16,ok
14,900014,so,0,8.603599214528419,0.1504067388751852,0.8653484513415335,1.0000008344650269,0.0,ok
14,900014,sl,0,8.068186053728363,0.15422186400839977,0.792597566991734,2.3073415756225586,1.7763568394002505e-15,ok
14,900014,gl,0,7.9884950283278835,0.14838744233411522,0.791020653606082,2.2721669673919678,0.0,ok
14,900014,sym,0,6.589609527273311,0.1479368756170284,0.6143208074995937,2478.9512939453125,0.0,ok
14,900014,baseline_ppo,1,5.993352495799765,0.18349486341161506,0.4867384026153634,,0.0,ok
14,900014,so,1,8.506401932026606,0.14979092602466398,0.8537957101367414,1.0000009536743164,0.0,ok
14,900014,sl,1,8.190512659858193,0.1568740266434941,0.8038525238416468,2.273972272872925,0.0,ok
14,900014,gl,1,7.970174576410519,0.14043385373537434,0.8007876920809347,2.159442186355591,0.0,ok
14,900014,sym,1,6.66725794119124,0.1557571142657716,0.6127126786639604,1451.5064086914062,0.0,ok
14,900014,baseline_ppo,2,6.073640918371277,0.19125452222731953,0.48555659497007736,,0.0,ok
14,900014,so,2,8.53028362641219,0.14230471108849416,0.8677416817946358,1.0000010132789612,0.0,ok
14,900014,sl,2,7.968034355400178,0.14902665043767122,0.7872530648203567,2.401568651199341,0.0,ok
14,900014,gl,2,8.042618091308984,0.1508458151830747,0.7939598194191543,2.6551707983016968,0.0,ok
14,900014,sym,2,6.532314553907536,0.1425910052480515,0.6153446185829428,4276.52197265625,8.881784197001252e-16,ok
15,900015,baseline_ppo,0,6.231010489770241,0.1824677420940585,0.5181427118238683,,0.0,ok
15,900015,so,0,8.87577829507431,0.1615339472794393,0.8828613682766756,1.0000008344650269,0.0,ok
15,900015,sl,0,8.134486034462684,0.1501907971220046,0.8062952607215693,2.1774438619613647,0.0,ok
15,900015,gl,0,8.143872866634968,0.14898093655339661,0.8093569823152384,2.287026047706604,1.7763568394002505e-15,ok
15,900015,sym,0,6.8646199327893145,0.1518503529033995,0.6431052408904769,1132.192626953125,0.0,ok
15,900015,baseline_ppo,1,6.063959347999913,0.17232791161551314,0.5128285655856132,,0.0,ok
15,900015,so,1,8.526966571038004,0.14554005270525938,0.8625177322852736,1.0000008344650269,0.0,ok
15,900015,sl,1,8.04882737406506,0.14314612939577262,0.80628093437658,2.0737239122390747,1.7763568394002505e-15,ok
15,900015,gl,1,8.283579540563304,0.158993715295799,0.8122031483013182,1.8475154638290405,1.7763568394002505e-15,ok
15,900015,sym,1,6.420720348926792,0.14479556804058563,0.5980488742222232,10638.8623046875,0.0,ok
15,900015,baseline_ppo,2,6.252267328019261,0.1838555390348685,0.5186994613810132,,0.0,ok
15,900015,so,2,8.480826330731121,0.15144628313322042,0.848134416053382,1.0000009536743164,0.0,ok
15,900015,sl,2,8.133966248048804,0.15917513447262127,0.7934468203983579,2.660192370414734,0.0,ok
